input_text,target_text
"summarize: I love this onion mix and am so glad to be able to buy it with Subscribe & Save. This has become a staple in our house and has more uses than you can shake a wooden spoon at: mashed potatoes, soups, scrambled eggs & omelets, salad dressings, dips, marinated mushrooms, sauteed anything...<br /><br />Also, if you are a fan of a certain famous cream cheese in the Chive and Onion flavor... this spice mix is your ticket to making your own version at home...for much less money. I've even made it with yogurt cheese, which is a bit healthier and also yummy.<br /><br />The flavor is surprising for a freeze dried spice and ridiculously versatile. LOVE!",Easy way to add flavor to many things
"summarize: We try to eat only whole grains and so have tried a lot of whole wheat pastas.  We used to eat Arrowhead Mills 100% whole wheat spaghetti and it was okay, not anything we'd eat a whole 12 inch plate of.  Then our local grocery store started carrying Full Circle 100% whole wheat Capellini and we thought that was the cat's meow.  Then we tried the Gia Russa 100% whole wheat angel hair and were hooked.  It is the best 100% whole wheat pasta we've tried.  I will say that it appears that when talking about 100% whole wheat pasta that the thinner the pasta the better tasting.  So maybe that's all it is with this product, that of the 100% whole wheat pastas we've tried (including other shapes like penne, rotini, jumbo shells, and so forth) that this was the best because it was the thinnest.  In any case, we can eat a whole 12 inch plate of it plain and in my husband's case he'll even have seconds, that's how good it is.",Best tasting 100% whole wheat pasta we've tried
"summarize: I saw this at my local grocery store and decided to give it a try. I like baking, and though I've baked brownies from scratch, I've not had the best results - some turn out too hard, some turn out dry, and the other brand mixes had not yielded great results either.<br /><br />Well, Ghirardelli has truly outdone itself. This mix turned out a great batch of brownies, earning high praise from my husband and daughter, and it was so easy! The brownies have chocolate bits in them which add to the already rich chocolate flavor, and they are deliciously chewy and moist, even after I stored them in the refrigerator for a couple of days. I also tried out the Ghirardelli brownie mix with walnuts and they were great too. I'm sticking to this brand to satisfy my family's brownie craving from now on!","Chewy, rich milk chocolate taste, and moist!"
"summarize: Make no mistake this is not a substitute for sleep.  If you are tired from lack of sleep then this most likely will not work too well (it can't cure exhaustion.)  However, if you are having one of those days or just your usual afternoon crash this serves as a well needed ""kick in the rear"" so to speak.  I don't feel like I have just went and slept 8 hours but I do feel awake and like I am able to make it longer than a few seconds without falling asleep if I sit down.  I say if you are on the fence go to the store and buy a single dose first to see if you like it.  I recommend it.","Gives me that mutch needed ""kick in the rear"" when I am feeling drowsy"
"summarize: I recently purchased my first Keurig machine, the B60 model (which is wonderful, by the way), and my machine was one of those ""bonus packages"" that came with a small variety sampler pack (12 k-cups). Having gone through most of this fantastic assortment already, I decided to order a variety assortment from Amazon. I read all the reviews -- positive and negative -- and decided to take a chance on this one. It arrived today, and although there are some neat flavors that I am anxious to try, there is VERY LITTLE variety. I ordered the 24-count sampler. Out of these, 4 k-cups are truly unique/limited edition flavors that are not Green Mountain. That leaves 20 k-cups of Green Mountain that either French Vanilla (the majority), Caramel Vanilla Cream, Blueberry or Hazelnut. Luckily, these are at least flavors I like, they are just not all that unique. Probably won't order from these folks again, due to the lack of variety. I was really hoping for more choices, like the one that came with my Keurig (the sampler pack had 12 different coffees from all different coffee companies, some I hadn't heard of and were quite good). I hate to whine, but my morning cup is a very important part of my day! Too bad... if you like French Vanilla with a few surprises thrown in, then this assortment is for you, but not if you are looking for a true variety.","I hate to say ""Me, too"", but..."
summarize: The best thing about jelly bellies is that they seem to be using higher quality ingredients than other American manufacturers but I remember when jelly beans didn't have to be gourmet to taste good.  I bought a 7 oz. bag of 30 flavors from Target and I find that bag to be too much for me but I would have bought the full 50 flavor assortment if Target had sold it because of the organization and identification of flavors.  I wasn't supposed to get cantaloup in my 30 flavor bag but I did get one and that flavor was so much better than tangerine.  I also liked the root beer.  The popcorn flavor was interestingly reminiscent of artificially fragrant movie theatre popcorn.  The jelly belly flavors are interesting but I prefer the lightly flavored pastel jelly beans available during Easter.  I believe they are manufacturered by Brachs.  They are gentler tasting than jelly bellies.,Jelly Bellies don't knock my socks off
"summarize: Some of the other reviewers noted that they still had reactions to this product.  Look at the ingredients - any sort of hydrolyzed vegetable protein contains MSG.  This is a trick used by most companies in the food industry.  There are like 25 different names for MSG- or free glutamate-containing substances, and they just hide it under a different name  (Google ""Other Names for MSG"" and you will be appalled).  Unfortunately the FDA does not require any real disclosure on labels - MSG can also be labeled simply as ""spices"" or ""natural flavors.""  It's safe to go ahead and assume that any flavor base seasoning such as that used here will have some type of MSG in it.  If another processed product such as flavor base is used in creating a new product, the ingredients in the component product (e.g., flavor base)are not required to be disclosed on the label. At least this manufacturer had the decency to list what was in the flavor base.",BEWARE!  THIS STILL HAS MSG IN IT!
"summarize: My family and I absolutely LOVE this slow cooker chicken! and every time I've made it for company, they too have loved it. I usually make it over egg noodles. I have been looking for this particular seasoning packet in every store I can think of, since we returned to the states 3 years ago, but haven't been able to find it ANYWHERE... So, one day I got curious, and searched online and found it here. I wish I could buy it by individual packs, rather than the case... as it will probably take me 2 years to use all 12 packages (assuming they don't expire before then), but alas the taste is worth it! McCormick really should sell this at more stores. So far I have only found it in Texas (about 6 years ago), and in military commissaries overseas (4 yrs ago).",excellent meal! so why can't i find it in stores anymore???
"summarize: From the start let me say that I enjoy crunchy and nutty foods, the more so the better. I am lucky I haven't broken a tooth based on some of the things I like to eat.<br /><br />I am a big fan of the <a href=""http://www.amazon.com/gp/product/B0034EDLS2"">KIND Fruit & Nut, Fruit & Nut Delight, All Natural, Gluten Free Bars)</a>(there are many of them, I've linked to just one.) I thought I'd give this cereal a try and it's just as good as their other products. It's very chewy, naturally sweet and has flax to boot - which is something I usually put in my cereals anyway. Just delicious.<br /><br />Highly recommended.",Super crunchy and tasty - if you're a fan of their bars you'll love this
"summarize: Let me start this review by saying that I ***LOVE*** my Keurig machine! I can get a great cup of coffee, any strength, any brew, any boldness, any flavor, without brewing up a whole pot. It is a brilliant concept for coffee, which has always lent itself to either mass-brewing or pathetic ""instant-coffee"".<br /><br />Tea and cocoa, however, typically cost anywhere from $1-$4 per box of 20-30 bags/packets. Tea and cocoa are inherantly single-shot items to begin with, so the idea of paying $10-14 for a box of 24 tea or cocoa K-cups is ludicrous. It offers no real extra convenience and costs about ten times the price. It would be like buying a Kia Rio for $8,000 or a Daewoo Leganza for $80,000... they are both basically the same car, so why pay ten times more for one? It just makes no sense.<br /><br />On a side note, I also have found that this cocoa is a bit watery at times and doesn't even hold up to a packet of Swiss Miss and some hot water.",10x the cost of Swiss Miss packets for an inferior product and no real convenience factor!
"summarize: I have been drinking really good Irish Breakfast tea for the past ten years and when my provider was backordered, I decided to give this tea a try since Irish Breakfast has to be Irish Breakfast right? Found out that this is not true with this tea. The tea comes well packaged and is very much a whole leaf tea but when I took a smell I smelled something that suggested it was tea. I immediately became worried and made a cup the next morning and soon discovered how bad the tea was. The tea has the orange color of Irish Breakfast but there is scarcely any aroma or flavor. The tea was very weak and it doesn't get any better by adding more leaves. I liked the idea of a subscription for tea but this one loses my vote.",This is not Irish Breakfast Tea
"summarize: Just The Cheese Barbeque flavor are just about right to my taste: a little too salty, not extraordinarily cheesy, with just a tang of BBQ flavoring. Maybe I have a weird palate, but I'm not hating these snacks like most reviewers do.<br /><br />So why only two stars? For one, JTC brand is hardly ""just the cheese."" Pull up a chair while I recall the ingredients (other than the cheese) in the Barbeque flavor: powdered cellulose, salt, tomato, torula yeast, spices, dehydrated garlic and onion, natural smoke flavor, paprika, sodium diacetate, inosinate and guanylate, sucralose, and silicon dioxide. Got all that?<br /><br />Two, JTC brand proudly boasts ""1 g carbohydrate per serving."" Perfect, in other words, for low-carb diets. If you look at the back of the Herb & Garlic flavor, one serving is about 18 pieces, 150 calories, and contains 10 grams protein. So a bag contains two servings. All well and good. Until you get to the Barbeque flavor, where one serving is 9 pieces, 75 calories, and contains 5 grams protein. So the Barbeque bag, which contains the same 2 oz. as the Herb & Onion flavor, has twice as many servings! In other words, JTC brand has toyed with the serving size so they can boast 1 g carbohydrate per serving. Unless you're on an ultra-low carb diet, those few extra carbs won't matter much. But manipulating the serving size to get that crucial ""1 g carbohydrate per serving"" is dishonest in my book.<br /><br />And finally, JTC brand is too expensive for what you get. I know that cheese isn't cheap, and that JTC brand is a smaller company not affiliated with any of the big names like Nabisco. But a little over two dollars is a bit much for a small bag, even if the texture does relieve a chips craving.","Ok taste, but misleading nutritional info and pricey"
"summarize: I keep getting these because my puppy likes them and they are safe for her to chew.  They don't break off into pieces that can hurt her.  I have a ""Premier Busy Buddy Bristle Bone"" that unscrews on both ends.  You just slip these on and give it to them and it will keep them busy for a long time.  I have the small size, but they have larger ones for bigger dogs.  They also have one that has a sort of ball in the middle that these little round chews slip onto also.  It's a pretty good product and I'll keep getting them until she gets tired of them.",My puppy likes these a lot
"summarize: I first bought this reluctantly out of dire need and was really surprised at how good it is. I've bought many, many bottles of very expensive white truffle oils in glass and and have returned several completely dead ones over the years. While I generally favor products in glass, the truffle aroma is an incredibly volatile (anyone who has left a bottle of truffle oil in a cupboard for a few months has probably noticed most of the aroma has dissipated) one and possibly labile under exposure to light. In any case, I've never had a dead bottle of this brand. Also, I have for years stored my truffle oil in the fridge; great to preserve the aroma but, if the carrier oil is olive, this poses a big problem of convenience as olive oil will harden under refrigeration.<br /><br />The big benefit of La Tourangelle is in fact the safflower carrier oil a it does not harden at refrigerator temperature or, if it does, it does so over weeks or months and I usually reach for mine every few days. Also, I just think it silly to bash this stuff for the neutral character of its carrier oil as I'm using truffle oil for truffle aroma. If I want really good EVOO character I'd rather choose the oil myself rather than leave that decision up to the truffle oil producer (and what is the likelihood that someone who doesn't specialize in olive oil is going to use the best one).<br /><br />Ignore the misinformed food snobs. Buy this, use it, store it in the fridge between uses.",Sound product and a great buy
"summarize: Over the years I've randomly picked up various sea salts hoping to find that perfect salt crystal that almost looks like it formed into tiny little delicate flakes. After running through quite a few, salt shakers, salt grinders, natural sea salts, salts harvested by natives who have been doing it for hundreds of years, you name it! They all seem to come up the same for me, the texture is never right. Even salt grinders can't get that perfect texture. So to make a long story short, I picked a shaker of this stuff up in the health food store one day and haven't looked back since. I've found my perfect salt! The texture is flawless; flakey and just slightly clumpy without over doing it. About the only thing I can say that's negative is the shaker dispensers tend to clump at the top and it takes an occasional reverse tap to clear the holes. Not a big deal though.<br /><br />I do wish you could buy one bag of this stuff instead of 6! The salt shakers are 7.5 ounces and last me forever. These bags are 35.3 ounces and there's 6 of them! If you have extended family then I suggest you give a  bag to each family member and save one for yourself. Otherwise don't hesitate to get this stuff, I love it!",Best Sea Salt I've Ever Used!
"summarize: I came across this sauce about five years ago. A Thai friend had brought it over and claimed it was one of the hottest things he's ever tried.. I told him that being a Latino guy, I was used to dealing with hot stuff, (Habaneros being my favorite because of bite and taste)I followed his advise and used a toothpick to put a tiny dot on a chicken wing... and it did the job well!! I came across this sauce again at a Ross store and bought a couple (which by the way, lasted for a long, long time).I was very impressed with how hot this sauce was that I went out of my way to put little DOT ""Hazardous Material"" and ""Flammable Liquid"" placards on it... specially after I found my roomate bent over the sink, making hissing sounds and practically scrubbing his tongue in an attempt to stop the burn, he had treated this sauce and if it was your common Taco Bell sauce... big mistake. Unless you like scratching bathroom walls, treat this sauce with respect! For beginners (or anyone without ""hot sauce scar tissue"") use a toothpick to test your limits and move up little by litte. It's not meant to add flavor to your food but to add bite to it. Try a small drop in your ranch sauce, you'll love it! try a drop in anything in the pot, from pastas to stews to chili, (be careful with soups, the heat multiplies). I now have about 2 oz. left in my bottle and have been scanning the shelves at Ross, hoping to find a bottle for under $3 but so far, it looks like I might have to place and order online..",Great sauce!! but treat it with respect..
"summarize: UPDATE - One pound of this is water pack - when drained it will yield '9 only' 1/2 CUP servings. Freezing in pouches does work.<br /><br />...............into separate servings.  Using 1/2 cup sizes - this Large can yields just under 9 [4 oz] servings. Drain lightly. Place 1/2 cup on foil pc - wrap tight - making pouch and then seal in ZipLoc* vacuum bags. 2 pouches will fit into one Vacuum bag with no leaking if foil pouch sealed tightly.<br /><br /><a href=""http://www.amazon.com/gp/product/B001DRBMWO"">Ziploc Vacuum Pump Refill Bags, Quart Size, 12 Count</a><br /><br />Great in casseroles/salads etc as well as grilled sandwiches all winter -<br />We froze in small sq containeres then popped onto the foil sheets and into vacuum bags.<br /><br />UPDATE A- MUCH BETTER BUY<br /><a href=""http://www.amazon.com/gp/product/B0025UCRE0"">Chicken of the Sea Chunk Light Tuna in Soybean Oil, 5-Ounce Tins (Pack of 24)</a><br /><br />under the Amazon 'Subscribe and Save' a really god buy $0.86 per can.",Bumble Bee* Very good product and one can freeze bulk size as this ....
"summarize: I love coconut water and have tried most varieties at my local grocery stores. I was excited to try this new variety.<br /><br />It comes in a tall can. I don't mind this although I prefer glass so I can put the lid back on and save it for later. On the other hand, it encourages me to stay extra hydrated because I don't want to waste any, so I go ahead and drink it all. Also, there has been recent news questioning BPA inside the lining of many canned food items. This can does not say whether or not it is BPA free.<br /><br />The can does state gluten-free, vegan, and non-GMO. I don't know differences in the production of coconut water, so I cannot comment on the sustainability of this company. In terms of taste quality though, it's as good as my favorites. A distinguishing characteristic for me is a distinctable nutty finish on your tongue. Not strong in any way, just light and sweet enough to make you crave another drink. This one definitely has it!<br /><br />Only thing missing for me was the pulp!",yummy nutty flavor - excellent drink!
"summarize: We've been giving our Brittany Costco brand heavy meat dog food. He doesn't particularly like it, but the first ingredient is lamb, and he certainly eats it. I thought I'd try this stuff instead, and I'm shocked- he digs in like crazy. I can barely keep him from the bowl after I put it in. On taste, it must be a home run.<br /><br />It loses a star, however, due to the first ingredient, corn. Oh, and the third ingredient, corn. And the fourth, flour. Dogs aren't omnivores, and I've yet to see one farm any corn, let alone domesticate a crop and turn it into a staple grain, plus harvest it, blah blah. Dogs aren't meant to eat that much corn. I'll spend the extra for real meat, and keep searching until I find a brand he loves to eat.","Dog loves it, but are they the right ingredients?"
"summarize: Our now 11 month old son eats these. We usually make our own food and freeze it, but sometimes we're on the run and don't have the ability to store frozen food, so something like this is a blessing. It smells and tastes pretty good to an adult palate, and the little guy eats them up.<br /><br />Pros:<br />- Shelf stable so it can slip in the diaper bag for a long time<br />- Won't leak, break, or mess up - and the cap is tough enough to get off that it won't slip<br />- He actually eats it<br />- Organic<br /><br />Cons:<br />- It's a bit thin. We usually bring some cereal along to thicken it up and he loves it. For a smaller baby, I'm sure the thinness would work well.","Loves it. A bit thin, though."
"summarize: I sent these to my mother for an early Mother's Day gift.  I placed the order on late Friday, and it arrived on Monday!  My mother called me to say that the flowers were absolutely gorgeous (and she is a flower ""savant""....she grows them and knows them), fresh, vibrantly colorful, and perfect. Each flower stem was in a vial of water, and was totally fresh and lovely. She was absolutely delighted with my gift. I can only say, thank you, Amazon, and thank you to the seller of these Dendrobium Orchids, who wisely marketed them through Amazon.  I doubt I would have stumbled across them otherwise! I would recommend these to anyone who wants to give a gift of flowers.  The price was reasonable, and the results impeccable!","Exquisite, vibrantly colorful, totally fresh, and a fast delivery!"
"summarize: The sugar is excellent. It is just a touch more brown than pure-white sugar, and the texture is a little on the coarse side (the grains are a bit larger). However, the sugar still dissolves and mixes just as well as regular sugar when baking or sweetening my coffee. Honestly cannot complain about the product itself.<br /><br />As others have pointed out, the box comes with 12 small 1 lb. bags. This is quite surprising as I've seen other retailers selling a 4 lb. version (so aside from real bulk orders (>25 lbs) a larger size does exist). Nevertheless, when it comes to price, Amazon.com still seems to do just fine, in my opinion. I've never seen a grocery store carry a 1 lb. bag of this sugar for less than $4 (and you'd be lucky to even find it at that price). Obviously, with Subscribe and Save, you're getting a bag for about $2.50. Outlets that I've seen carrying the 4 lb. version are usually selling those anywhere from $8 to $9 each. So yes, Amazon.com could be doing a touch better, and when it comes to selling 12 tiny bags of sugar as opposed to 3 decently sized bags, obviously Amazon.com has some work to do.",Excellent sugar at a good price (although could be more affordable)
"summarize: Being unable to find canned pumpkin in any of my local stores, I held my breath (after reading the mixed reviews and mentions of damaged cans), took a chance and ordered a 12 pack.  Of the 12 cans, only 2 arrived undamaged.  Another 2 had small dents, which shouldn't affect the product or make opening the cans a problem.  Unfortunately, the 8 remaining cans are too badly dented to use.  Dents deep enough to have bent the cans sideways, and in the case of top dents, probably make it difficult/impossible to fully open with can opener. These will be discarded. Since some of the cans are dented on the top while others on the bottom, and the two undented cans were on an OUTSIDE row and the most severely dented on the INSIDE row, it appears that the cans were dented prior to packaging and not damaged in shipping.<br /><br />It is disappointing to see that damaged product is still a problem so many months after the first reviews called attention to the issue but an Amazon customer service rep. promised that someone would look into the issue to try to ascertain just where the damage is happening.  I haven't actually tried the pumpkin in the any of the 4 'safe' cans yet, so my review isn't based on the actual quality of the pumpkin but given the outrageously bad condition of the packaging there's no way I could rate this higher.",8 of 12 Cans Very Badly Damaged (Dents)
"summarize: A friend told me about this product. She is very health-conscious when it comes to food for her kids. One of her kids has allergy, so she has also been looking for good gluten free food products. She first found this line of soup base in a high-end food store in the East Coast and tried it out. Her whole family loved (and still loves) it. She sent me one as gift a few months ago and we tried it out and my kids love it too. We used to boil meat and vegetable or 2-3 hours and used the soup to cook food for the kids. This was very time and energy consuming. We tried other soup bases in the past but the kids complained about being very thirsty after drinking those. This one is great. It saves us a lot of work and the kids still get healthy delicious soup! I recently found it on Amazon & bought 5 different flavors. The order arrived within 2 days with my Amazon Prime membership and we now can enjoy the different flavors.",Excellent healthy delicious organic soup base! Great for kids!
